15:09:03.164 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
15:09:03.168 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
15:09:03.168 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
15:09:03.172 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
15:09:03.173 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
15:09:03.173 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
15:10:31.217 [AWT-EventQueue-0] INFO  c.b.launchers.LaunchMavenCommand - Integrate source: testng:intellij:v1.1.6
15:10:31.218 [AWT-EventQueue-0] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
15:10:31.341 [ApplicationImpl pooled thread 773] INFO  c.b.l.BrowserStackRunExtension - maven
15:10:31.341 [ApplicationImpl pooled thread 773] INFO  com.browserstack.utils.Helpers - null
15:11:05.603 [java] INFO  c.b.launchers.LaunchMavenCommand - Completed maven archetype command
15:11:43.194 [ApplicationImpl pooled thread 780] INFO  c.b.l.BrowserStackRunExtension - maven
15:11:43.194 [ApplicationImpl pooled thread 780] INFO  com.browserstack.utils.Helpers - true
15:13:54.848 [ApplicationImpl pooled thread 785] INFO  c.b.l.BrowserStackRunExtension - maven
15:13:54.848 [ApplicationImpl pooled thread 785] INFO  com.browserstack.utils.Helpers - true
15:15:35.593 [ApplicationImpl pooled thread 780] INFO  c.b.l.BrowserStackRunExtension - testng
15:15:35.593 [ApplicationImpl pooled thread 780] INFO  com.browserstack.utils.Helpers - true
15:15:35.594 [ApplicationImpl pooled thread 780] INFO  com.browserstack.utils.Helpers - /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
15:15:35.594 [ApplicationImpl pooled thread 780] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
15:15:35.594 [ApplicationImpl pooled thread 780] INFO  c.b.l.BrowserStackRunExtension - Replacing existing Browserstack SDK javaagent argline
15:15:35.595 [ApplicationImpl pooled thread 780] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
17:03:29.583 [ApplicationImpl pooled thread 826] INFO  c.b.l.BrowserStackRunExtension - maven
17:03:29.583 [ApplicationImpl pooled thread 826] INFO  com.browserstack.utils.Helpers - true
17:09:08.753 [ApplicationImpl pooled thread 832] INFO  c.b.l.BrowserStackRunExtension - testng
17:09:08.753 [ApplicationImpl pooled thread 832] INFO  com.browserstack.utils.Helpers - true
17:09:08.754 [ApplicationImpl pooled thread 832] INFO  com.browserstack.utils.Helpers - /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
17:09:08.754 [ApplicationImpl pooled thread 832] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
17:09:08.754 [ApplicationImpl pooled thread 832] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
17:09:08.754 [ApplicationImpl pooled thread 832] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
17:37:22.460 [ApplicationImpl pooled thread 846] INFO  c.b.l.BrowserStackRunExtension - testng
17:37:22.460 [ApplicationImpl pooled thread 846] INFO  com.browserstack.utils.Helpers - true
17:37:22.461 [ApplicationImpl pooled thread 846] INFO  com.browserstack.utils.Helpers - /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
17:37:22.461 [ApplicationImpl pooled thread 846] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/rohith.kolli/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
17:37:22.461 [ApplicationImpl pooled thread 846] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
17:37:22.461 [ApplicationImpl pooled thread 846] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
17:46:30.066 [ApplicationImpl pooled thread 850] INFO  c.b.l.BrowserStackRunExtension - testng
17:46:30.066 [ApplicationImpl pooled thread 850] INFO  com.browserstack.utils.Helpers - true
